МАРКА,МОДЕЛЬ,ГОД,КОЛИЧЕСТВО
Acura,acura-cl,2000,39
Acura,acura-cl,2001,176
Acura,acura-cl,2002,489
Acura,acura-cl,2003,853
Acura,acura-cl,2004,446
Acura,acura-cl,2005,700
Acura,acura-cl,2006,754
Acura,acura-cl,2007,2192
Acura,acura-cl,2008,2188
Acura,acura-cl,2009,1051
Acura,acura-cl,2010,793
Acura,acura-cl,2011,991
Acura,acura-cl,2012,116
Acura,acura-cl,2013,448
Acura,acura-cl,2014,118
Acura,acura-cl,2015,129
Acura,acura-cl,2016,289
Acura,acura-cl,2017,45
Acura,acura-cl,2018,431
Acura,acura-cl,2019,1764
Acura,acura-cl,2020,915
Acura,acura-cl,2021,1361
Acura,acura-cl,2022,644
Acura,acura-cl,2023,318
Acura,acura-cl,2024,0
Acura,acura-ilx,2000,39
Acura,acura-ilx,2001,176
Acura,acura-ilx,2002,489
Acura,acura-ilx,2003,853
Acura,acura-ilx,2004,446
Acura,acura-ilx,2005,700
Acura,acura-ilx,2006,754
Acura,acura-ilx,2007,2192
Acura,acura-ilx,2008,2188
Acura,acura-ilx,2009,1051
Acura,acura-ilx,2010,793
Acura,acura-ilx,2011,991
Acura,acura-ilx,2012,116
Acura,acura-ilx,2013,448
Acura,acura-ilx,2014,118
Acura,acura-ilx,2015,129
Acura,acura-ilx,2016,289
Acura,acura-ilx,2017,45
Acura,acura-ilx,2018,431
Acura,acura-ilx,2019,1764
Acura,acura-ilx,2020,915
Acura,acura-ilx,2021,1361
Acura,acura-ilx,2022,644
Acura,acura-ilx,2023,318
Acura,acura-ilx,2024,0
Acura,acura-integra,2000,39
Acura,acura-integra,2001,176
Acura,acura-integra,2002,489
Acura,acura-integra,2003,853
Acura,acura-integra,2004,446
Acura,acura-integra,2005,700
Acura,acura-integra,2006,754
Acura,acura-integra,2007,2192
Acura,acura-integra,2008,2188
Acura,acura-integra,2009,1051
Acura,acura-integra,2010,793
Acura,acura-integra,2011,991
Acura,acura-integra,2012,116
Acura,acura-integra,2013,448
Acura,acura-integra,2014,118
Acura,acura-integra,2015,129
Acura,acura-integra,2016,289
Acura,acura-integra,2017,45
Acura,acura-integra,2018,431
Acura,acura-integra,2019,1764
Acura,acura-integra,2020,915
Acura,acura-integra,2021,1361
Acura,acura-integra,2022,644
Acura,acura-integra,2023,318
Acura,acura-integra,2024,0
Acura,acura-legend,2000,39
Acura,acura-legend,2001,176
Acura,acura-legend,2002,489
Acura,acura-legend,2003,853
Acura,acura-legend,2004,446
Acura,acura-legend,2005,700
Acura,acura-legend,2006,754
Acura,acura-legend,2007,2192
Acura,acura-legend,2008,2188
Acura,acura-legend,2009,1051
Acura,acura-legend,2010,793
Acura,acura-legend,2011,991
Acura,acura-legend,2012,116
Acura,acura-legend,2013,448
Acura,acura-legend,2014,118
Acura,acura-legend,2015,129
Acura,acura-legend,2016,289
Acura,acura-legend,2017,45
Acura,acura-legend,2018,431
Acura,acura-legend,2019,1764
Acura,acura-legend,2020,915
Acura,acura-legend,2021,1361
Acura,acura-legend,2022,644
Acura,acura-legend,2023,318
Acura,acura-legend,2024,0
Acura,acura-mdx,2000,39
Acura,acura-mdx,2001,176
Acura,acura-mdx,2002,489
Acura,acura-mdx,2003,853
Acura,acura-mdx,2004,446
Acura,acura-mdx,2005,700
Acura,acura-mdx,2006,754
Acura,acura-mdx,2007,2192
Acura,acura-mdx,2008,2188
Acura,acura-mdx,2009,1051
Acura,acura-mdx,2010,793
Acura,acura-mdx,2011,991
Acura,acura-mdx,2012,116
Acura,acura-mdx,2013,448
Acura,acura-mdx,2014,118
Acura,acura-mdx,2015,129
Acura,acura-mdx,2016,289
Acura,acura-mdx,2017,45
Acura,acura-mdx,2018,431
Acura,acura-mdx,2019,1764
Acura,acura-mdx,2020,915
Acura,acura-mdx,2021,1361
Acura,acura-mdx,2022,644
Acura,acura-mdx,2023,318
Acura,acura-mdx,2024,0
Acura,acura-rdx,2000,39
Acura,acura-rdx,2001,176
Acura,acura-rdx,2002,489
Acura,acura-rdx,2003,853
Acura,acura-rdx,2004,446
Acura,acura-rdx,2005,700
Acura,acura-rdx,2006,754
Acura,acura-rdx,2007,2192
Acura,acura-rdx,2008,2188
Acura,acura-rdx,2009,1051
Acura,acura-rdx,2010,793
Acura,acura-rdx,2011,991
Acura,acura-rdx,2012,116
Acura,acura-rdx,2013,448
Acura,acura-rdx,2014,118
Acura,acura-rdx,2015,129
Acura,acura-rdx,2016,289
